North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
LIBRARIES AND ARCHIVES,2016,"$17,016,642.97"
PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,2016,"$16,794,494.81"
OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS,2016,"$16,676,226.38"
"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2016,"$16,333,241.80"
ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,2016,"$15,805,154.47"
ALL OTHER ANIMAL PRODUCTION,2016,"$14,416,767.17"
OFFICES OF LAWYERS,2016,"$13,922,270.38"
ARCHITECTURAL SERVICES,2016,"$13,625,083.02"
EXTERMINATING AND PEST CONTROL SERVICES,2016,"$13,334,696.12"
TRAVEL AGENCIES,2016,"$13,221,453.86"
TRANSLATION AND INTERPRETATION SERVICES,2016,"$12,860,514.47"
INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,2016,"$12,857,004.54"
GENERAL MEDICAL AND SURGICAL HOSPITALS,2016,"$12,757,451.85"
"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2016,"$12,368,497.42"
CONVENTION AND TRADE SHOW ORGANIZERS,2016,"$12,339,177.16"
PARKING LOTS AND GARAGES,2016,"$11,779,678.92"
DIAGNOSTIC IMAGING CENTERS,2016,"$11,347,116.68"
ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION,2016,"$11,152,600.07"
OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,2016,"$10,724,435.29"
PROFESSIONAL ORGANIZATIONS,2016,"$10,680,672.68"
INSTITUTIONAL FURNITURE MANUFACTURING,2016,"$10,373,087.63"
COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,2016,"$10,336,469.42"
COMPUTER TRAINING,2016,"$10,213,991.06"
OPTICAL INSTRUMENT AND LENS MANUFACTURING,2016,"$9,527,102.17"
RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,2016,"$9,503,224.53"
NATURAL GAS DISTRIBUTION,2016,"$9,186,373.54"
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,2016,"$9,081,317.01"
OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,2016,"$9,049,566.55"
WIRED TELECOMMUNICATIONS CARRIERS,2016,"$8,946,554.11"
THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS,2016,"$8,942,789.86"
EDUCATIONAL SUPPORT SERVICES,2016,"$8,401,571.00"
FITNESS AND RECREATIONAL SPORTS CENTERS,2016,"$8,010,046.83"
GENERAL WAREHOUSING AND STORAGE,2016,"$7,559,974.42"
PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2016,"$7,539,080.57"
PAYROLL SERVICES,2016,"$7,232,424.10"
"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",2016,"$6,553,393.29"
SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,2016,"$6,441,122.25"
"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",2016,"$6,408,260.20"
WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,2016,"$6,303,210.45"
SOLID WASTE COLLECTION,2016,"$6,189,172.61"
"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",2016,"$6,075,759.35"
DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2016,"$5,962,894.65"
MIXED MODE TRANSIT SYSTEMS,2016,"$5,891,739.11"
OTHER BUILDING EQUIPMENT CONTRACTORS,2016,"$5,633,654.79"
HAZARDOUS WASTE TREATMENT AND DISPOSAL,2016,"$5,540,142.74"
MOTION PICTURE AND VIDEO PRODUCTION,2016,"$5,457,225.68"
REMEDIATION SERVICES,2016,"$5,307,908.33"
PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2016,"$5,116,930.43"
ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,2016,"$5,051,507.24"
LANDSCAPING SERVICES,2016,"$5,034,462.37"
SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),2016,"$5,031,158.59"
NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,2016,"$5,021,511.08"
ALL OTHER SUPPORT SERVICES,2016,"$5,004,837.93"
PACKAGING AND LABELING SERVICES,2016,"$4,809,070.07"
OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2016,"$4,686,104.83"
OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS,2016,"$4,226,932.17"
LABORATORY APPARATUS AND FURNITURE MANUFACTURING,2016,"$4,185,920.77"
OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2016,"$4,022,313.39"
OTHER WAREHOUSING AND STORAGE,2016,"$3,999,217.12"
BOOK PUBLISHERS,2016,"$3,522,525.77"
COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS),2016,"$3,331,913.48"
"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2016,"$3,312,701.49"
PHARMACIES AND DRUG STORES,2016,"$3,206,522.93"
AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2016,"$3,113,865.14"
OFFICES OF DENTISTS,2016,"$3,040,160.72"
HAZARDOUS WASTE COLLECTION,2016,"$2,783,624.55"
COMMERCIAL BANKING,2016,"$2,757,700.86"
INDUSTRIAL GAS MANUFACTURING,2016,"$2,686,696.02"
ALL OTHER BUSINESS SUPPORT SERVICES,2016,"$2,634,331.81"
DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),2016,"$2,602,170.21"
ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,2016,"$2,587,373.90"
TRUCK TRAILER MANUFACTURING,2016,"$2,523,578.36"
SITE PREPARATION CONTRACTORS,2016,"$2,381,244.79"
ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,2016,"$2,361,677.57"
ALL OTHER SPECIALTY TRADE CONTRACTORS,2016,"$2,353,556.39"
DOCUMENT PREPARATION SERVICES,2016,"$2,290,788.80"
"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",2016,"$2,240,666.75"
USED HOUSEHOLD AND OFFICE GOODS MOVING,2016,"$2,221,379.84"
MORTGAGE AND NONMORTGAGE LOAN BROKERS,2016,"$2,199,050.33"
PAINTING AND WALL COVERING CONTRACTORS,2016,"$2,190,743.40"
GRAPHIC DESIGN SERVICES,2016,"$2,188,340.38"
ALL OTHER MISCELLANEOUS MANUFACTURING,2016,"$2,172,703.99"
COMPUTER STORAGE DEVICE MANUFACTURING,2016,"$2,127,945.81"
INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,2016,"$2,105,543.48"
ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,2016,"$2,015,019.98"
COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2016,"$2,011,317.77"
COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2016,"$1,971,625.52"
OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2016,"$1,904,216.69"
BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS,2016,"$1,902,828.82"
WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),2016,"$1,826,847.66"
PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,2016,"$1,807,424.40"
ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2016,"$1,743,185.20"
"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",2016,"$1,737,278.76"
WOOD OFFICE FURNITURE MANUFACTURING,2016,"$1,695,771.23"
OTHER ANIMAL FOOD MANUFACTURING,2016,"$1,666,565.99"
"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",2016,"$1,666,245.70"
PETROLEUM REFINERIES,2016,"$1,646,294.48"
TELEPHONE APPARATUS MANUFACTURING,2016,"$1,613,771.18"
INTERNET SERVICE PROVIDERS,2016,"$1,600,690.76"
VOCATIONAL REHABILITATION SERVICES,2016,"$1,594,468.63"
ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2016,"$1,577,000.16"
SANITARY PAPER PRODUCT MANUFACTURING,2016,"$1,553,334.66"
RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES,2016,"$1,472,624.94"
OTHER INDIVIDUAL AND FAMILY SERVICES,2016,"$1,468,924.01"
OUTDOOR ADVERTISING,2016,"$1,415,190.71"
"SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING ",2016,"$1,388,738.38"
SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES,2016,"$1,385,470.36"
DENTAL LABORATORIES,2016,"$1,371,390.32"
"BOOK, PERIODICAL, AND NEWSPAPER WHOLESALERS",2016,"$1,370,644.64"
PLASTICS PIPE AND PIPE FITTING MANUFACTURING,2016,"$1,344,331.12"
OFFICE EQUIPMENT MERCHANT WHOLESALERS,2016,"$1,327,798.47"
EMPLOYMENT PLACEMENT AGENCIES,2016,"$1,326,421.21"
ROOFING CONTRACTORS,2016,"$1,314,948.80"
"ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS)",2016,"$1,274,345.28"
ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2016,"$1,268,848.04"
NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2016,"$1,244,361.00"
VOLUNTARY HEALTH ORGANIZATIONS,2016,"$1,237,544.67"
TEMPORARY SHELTERS,2016,"$1,224,949.02"
HARDWARE STORES,2016,"$1,210,348.19"
OFFICE SUPPLIES AND STATIONERY STORES,2016,"$1,166,078.29"
OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,2016,"$1,152,095.15"
COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,2016,"$1,150,258.31"
SCHEDULED PASSENGER AIR TRANSPORTATION,2016,"$1,143,462.23"
OTHER GRANTMAKING AND GIVING SERVICES,2016,"$1,142,191.54"
ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,2016,"$1,129,453.58"
GENERAL AUTOMOTIVE REPAIR,2016,"$1,109,554.35"
SPORTING AND ATHLETIC GOODS MANUFACTURING,2016,"$1,083,750.96"
AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,2016,"$1,066,442.57"
NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,2016,"$1,049,256.56"
MUSEUMS,2016,"$1,018,760.48"
OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,2016,"$1,012,592.48"
MANUFACTURED HOME (MOBILE HOME) MANUFACTURING,2016,"$1,003,719.73"
OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,2016,"$990,110.90"
BUSINESS ASSOCIATIONS,2016,"$946,351.57"
ELEMENTARY AND SECONDARY SCHOOLS,2016,"$919,508.95"
POSTAL SERVICE,2016,"$850,505.85"
ALL OTHER PLASTICS PRODUCT MANUFACTURING,2016,"$833,110.52"
POLICE PROTECTION,2016,"$829,065.17"
MOTOR VEHICLE BODY MANUFACTURING,2016,"$825,540.18"
OTHER SOCIAL ADVOCACY ORGANIZATIONS,2016,"$809,669.54"
CONSUMER ELECTRONICS REPAIR AND MAINTENANCE,2016,"$806,516.16"
SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,2016,"$789,236.20"
AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,2016,"$777,699.00"
DIRECTORY AND MAILING LIST PUBLISHERS,2016,"$749,479.09"
OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2016,"$747,761.40"
TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2016,"$723,475.65"
OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,2016,"$714,387.86"
OTHER INDUSTRIAL MACHINERY MANUFACTURING,2016,"$705,730.68"
"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",2016,"$693,530.80"
OTHER SOUND RECORDING INDUSTRIES,2016,"$686,648.75"
BROADWOVEN FABRIC MILLS,2016,"$669,966.69"
OFFICES OF PODIATRISTS,2016,"$664,792.88"
APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2016,"$662,557.60"
PRIVATE MAIL CENTERS,2016,"$661,198.25"
APPLIANCE REPAIR AND MAINTENANCE,2016,"$660,892.22"
SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2016,"$647,385.92"
OTHER GENERAL GOVERNMENT SUPPORT,2016,"$635,294.62"
"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",2016,"$607,981.45"
CARBON PAPER AND INKED RIBBON MANUFACTURING,2016,"$576,704.75"
OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION,2016,"$573,319.90"
INDUSTRIAL LAUNDERERS,2016,"$559,004.05"
SOAP AND OTHER DETERGENT MANUFACTURING,2016,"$555,505.19"
POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2016,"$554,405.38"
WATER SUPPLY AND IRRIGATION SYSTEMS,2016,"$548,495.95"
OTHER BUILDING MATERIAL DEALERS,2016,"$547,559.85"
CLAIMS ADJUSTING,2016,"$545,000.00"
OPHTHALMIC GOODS MERCHANT WHOLESALERS,2016,"$541,200.66"
"SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2016,"$525,838.39"
STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,2016,"$519,012.83"
ICE MANUFACTURING,2016,"$508,798.21"
AMBULANCE SERVICES,2016,"$508,031.36"
PUMP AND PUMPING EQUIPMENT MANUFACTURING,2016,"$501,630.12"
OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,2016,"$487,038.57"
HARDWARE MERCHANT WHOLESALERS,2016,"$485,627.09"
FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2016,"$482,217.50"
SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2016,"$472,976.96"
FUEL DEALERS,2016,"$469,471.29"
FREIGHT TRANSPORTATION ARRANGEMENT,2016,"$459,247.66"
INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2016,"$451,703.45"
GENERAL LINE GROCERY MERCHANT WHOLESALERS,2016,"$429,952.89"
COMMERCIAL PHOTOGRAPHY,2016,"$405,660.74"
OPHTHALMIC GOODS MANUFACTURING,2016,"$392,114.34"
TAXI SERVICE,2016,"$379,526.73"
NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION,2016,"$375,161.00"
PAPER (EXCEPT NEWSPRINT) MILLS,2016,"$373,100.57"
FURNITURE MERCHANT WHOLESALERS,2016,"$370,525.22"
"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",2016,"$370,005.99"
MINING MACHINERY AND EQUIPMENT MANUFACTURING,2016,"$363,533.25"
"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",2016,"$362,757.94"
OTHER ELECTRONIC COMPONENT MANUFACTURING,2016,"$357,223.54"
OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),2016,"$337,355.55"
FOOD SERVICE CONTRACTORS,2016,"$333,734.27"
MEASURING AND DISPENSING PUMP MANUFACTURING,2016,"$330,975.68"
RESILIENT FLOOR COVERING MANUFACTURING,2016,"$328,994.00"
HOME CENTERS,2016,"$328,704.09"
SIGN MANUFACTURING,2016,"$327,692.60"
OTHER BUILDING FINISHING CONTRACTORS,2016,"$327,151.48"
OFFICES OF OPTOMETRISTS,2016,"$320,627.11"
OTHER DIRECT SELLING ESTABLISHMENTS,2016,"$320,608.12"
SEWAGE TREATMENT FACILITIES,2016,"$314,412.32"
AUTOMOBILE MANUFACTURING,2016,"$312,308.26"
COLLECTION AGENCIES,2016,"$300,812.55"
OFFICES OF CHIROPRACTORS,2016,"$299,621.00"
OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,2016,"$298,626.90"
LESSORS OF OTHER REAL ESTATE PROPERTY,2016,"$293,745.00"
OTHER TECHNICAL AND TRADE SCHOOLS,2016,"$293,149.00"
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,2016,"$291,780.34"
CATERERS,2016,"$291,434.61"
LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2016,"$285,264.89"
REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES,2016,"$274,574.84"
CHILD AND YOUTH SERVICES,2016,"$272,379.57"
RECORD PRODUCTION,2016,"$264,816.00"
PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2016,"$260,271.52"
AIR PURIFICATION EQUIPMENT MANUFACTURING,2016,"$256,102.02"
SUPPORT ACTIVITIES FOR PRINTING,2016,"$241,184.48"
LOCKSMITHS,2016,"$239,324.25"
CURRENT-CARRYING WIRING DEVICE MANUFACTURING,2016,"$236,088.24"
LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2016,"$233,472.13"
ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2016,"$225,304.87"
OFFICE MACHINERY MANUFACTURING,2016,"$224,079.34"
CONSUMER ELECTRONICS AND APPLIANCES RENTAL,2016,"$217,115.08"
ELECTRONIC SHOPPING,2016,"$213,833.68"
SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2016,"$212,603.27"
EXECUTIVE OFFICES,2016,"$210,404.61"
CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2016,"$206,789.34"
COURT REPORTING AND STENOTYPE SERVICES,2016,"$203,994.78"
OTHER SERVICES TO BUILDINGS AND DWELLINGS,2016,"$202,634.33"
INTERIOR DESIGN SERVICES,2016,"$201,749.86"
WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2016,"$201,429.37"
ELEVATOR AND MOVING STAIRWAY MANUFACTURING,2016,"$195,543.65"
LIQUEFIED PETROLEUM GAS (BOTTLED GAS) DEALERS,2016,"$194,204.91"
BUILDING INSPECTION SERVICES,2016,"$193,633.89"
ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,2016,"$190,656.19"
LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2016,"$187,227.14"
ADMINISTRATION OF EDUCATION PROGRAMS,2016,"$184,728.18"
TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,2016,"$183,238.12"
PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,2016,"$183,211.43"
OTHER ACTIVITIES RELATED TO REAL ESTATE,2016,"$172,664.00"
CABLE AND OTHER SUBSCRIPTION PROGRAMMING,2016,"$170,131.04"
PERISHABLE PREPARED FOOD MANUFACTURING,2016,"$169,570.97"
GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,2016,"$166,886.27"
FIRE PROTECTION,2016,"$165,803.46"
FLOORING CONTRACTORS,2016,"$163,502.44"
NAVIGATIONAL SERVICES TO SHIPPING,2016,"$162,813.61"
HARDWARE MANUFACTURING,2016,"$160,306.85"
MACHINE TOOL MANUFACTURING,2016,"$155,774.37"
INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,2016,"$154,281.40"
CONSTRUCTION MACHINERY MANUFACTURING,2016,"$152,357.41"
OTHER FABRICATED WIRE PRODUCT MANUFACTURING,2016,"$150,513.57"
ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2016,"$147,121.15"
"GENERAL FREIGHT TRUCKING, LOCAL",2016,"$145,383.99"
CHICKEN EGG PRODUCTION,2016,"$144,323.20"
METAL TANK (HEAVY GAUGE) MANUFACTURING,2016,"$144,001.44"
LINEN SUPPLY,2016,"$141,610.20"
PLASTICS BAG MANUFACTURING,2016,"$139,416.70"
ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,2016,"$137,032.12"
OTHER SPECIALIZED DESIGN SERVICES,2016,"$136,416.52"
"BROOM, BRUSH, AND MOP MANUFACTURING",2016,"$135,966.30"
OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,2016,"$135,738.61"
"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",2016,"$134,395.00"
OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2016,"$134,140.85"
HUMAN RIGHTS ORGANIZATIONS,2016,"$133,137.65"
WIND ELECTRIC POWER GENERATION,2016,"$133,103.00"
CARPET AND RUG MILLS,2016,"$132,680.17"
KIDNEY DIALYSIS CENTERS,2016,"$132,206.91"
FARM MACHINERY AND EQUIPMENT MANUFACTURING,2016,"$130,772.82"
PLASTICS BOTTLE MANUFACTURING,2016,"$130,075.32"
PACKAGING MACHINERY MANUFACTURING,2016,"$129,165.00"
GRANTMAKING FOUNDATIONS,2016,"$129,156.97"
ALL OTHER HEALTH AND PERSONAL CARE STORES,2016,"$129,053.00"
CHILD DAY CARE SERVICES,2016,"$127,732.00"
PETROLEUM BULK STATIONS AND TERMINALS,2016,"$127,668.39"
FOOTWEAR MANUFACTURING,2016,"$126,490.25"
UPHOLSTERED HOUSEHOLD FURNITURE MANUFACTURING,2016,"$125,514.27"
PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS,2016,"$121,838.69"
ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION,2016,"$121,042.80"
MEDIA REPRESENTATIVES,2016,"$120,695.00"
SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,2016,"$118,164.36"
"OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",2016,"$117,915.00"
PRIMARY SMELTING AND REFINING OF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM),2016,"$114,939.37"
LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2016,"$113,016.77"
FOOD PRODUCT MACHINERY MANUFACTURING,2016,"$111,065.00"
OTHER FOOTWEAR MANUFACTURING,2016,"$110,866.30"
INDUSTRIAL DESIGN SERVICES,2016,"$109,600.55"
ARTIFICIAL AND SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING,2016,"$108,390.00"
INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,2016,"$107,464.78"
RADIO STATIONS,2016,"$106,563.00"
CIVIC AND SOCIAL ORGANIZATIONS,2016,"$104,769.75"
MAIL-ORDER HOUSES,2016,"$103,337.59"
COMMERCIAL SCREEN PRINTING,2016,"$101,857.55"
OTHER MOTION PICTURE AND VIDEO INDUSTRIES,2016,"$100,000.00"
OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,2016,"$99,850.24"
HOME HEALTH CARE SERVICES,2016,"$96,598.75"
CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING,2016,"$95,269.61"
"COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2016,"$93,187.52"
PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2016,"$88,470.00"
SPORTS AND RECREATION INSTRUCTION,2016,"$87,637.91"
SYNTHETIC DYE AND PIGMENT MANUFACTURING,2016,"$87,488.36"
LOCAL MESSENGERS AND LOCAL DELIVERY,2016,"$86,202.60"
OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,2016,"$85,085.84"
OTHER CUT AND SEW APPAREL MANUFACTURING,2016,"$83,092.55"
ELECTRONICS STORES,2016,"$82,368.85"
REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2016,"$81,789.86"
BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2016,"$80,435.10"
SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,2016,"$76,521.13"
FIBER OPTIC CABLE MANUFACTURING,2016,"$76,303.73"
"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2016,"$74,812.00"
BOOKS PRINTING,2016,"$72,741.20"
ALL OTHER RUBBER PRODUCT MANUFACTURING,2016,"$72,279.48"
ALL OTHER TRAVELER ACCOMMODATION,2016,"$72,000.00"
HYDROELECTRIC POWER GENERATION,2016,"$69,498.39"
NEWSPAPER PUBLISHERS,2016,"$69,220.94"
ALL OTHER CONSUMER GOODS RENTAL,2016,"$67,022.28"
OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE,2016,"$66,560.80"
NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),2016,"$66,490.00"
RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2016,"$65,473.51"
CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2016,"$63,556.07"
METAL WINDOW AND DOOR MANUFACTURING,2016,"$61,210.18"
COMMERCIAL LITHOGRAPHIC PRINTING,2016,"$58,806.00"
PLASTICS MATERIAL AND RESIN MANUFACTURING,2016,"$58,647.04"
TILE AND TERRAZZO CONTRACTORS,2016,"$56,421.96"
WELDING AND SOLDERING EQUIPMENT MANUFACTURING,2016,"$56,080.00"
OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2016,"$55,259.55"
AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2016,"$55,183.93"
SPORTING GOODS STORES,2016,"$53,850.06"
"OTHER SIMILAR ORGANIZATIONS (EXCEPT BUSINESS, PROFESSIONAL, LABOR, AND POLITICAL ORGANIZATIONS)",2016,"$53,807.00"
BOTTLED WATER MANUFACTURING,2016,"$53,534.90"
FINISH CARPENTRY CONTRACTORS,2016,"$53,242.00"
NEWS SYNDICATES,2016,"$52,642.00"
"HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",2016,"$52,117.96"
PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,2016,"$51,513.00"
HAND AND EDGE TOOL MANUFACTURING,2016,"$51,037.03"
QUICK PRINTING,2016,"$50,061.27"
BLIND AND SHADE MANUFACTURING,2016,"$49,352.40"
CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2016,"$49,112.00"
OTHER LIGHTING EQUIPMENT MANUFACTURING,2016,"$48,868.00"
